;;;;;;;;;;
;Auswahl;Daten;WZ-Seriennr.;Energiemenge;;Volumen;;;;
Von;2025-01-01 00:00 Uhr;2025-01-01 00:00 Uhr;86212249;24724,00;kWh;652,74;m3;;;
Bis;2025-12-31 23:59 Uhr;2026-01-01 00:00 Uhr;86212249;97075,00;kWh;2674,85;m3;;;
;;;Gesamt;72351,00;kWh;2022,11;m3;;;
;;;;;;;;;;
;Zeitpunkt;Energiemenge;Energiemenge Vorjahr;Volumen;Volumenbedarf;;;;;
;;kWh;kWh;m3;m3/MWh;;;;;
Jahressummen;2025;72351;24712;2022,11;27,95;;;;;
;;;;;;;;;;
Monatssummen;2025-01;13079;;338,75;25,90;;;;;
;2025-02;10926;;268,97;24,62;;;;;
;2025-03;8132;;194,47;23,91;;;;;
;2025-04;4991;;133,21;26,69;;;;;
;2025-05;4048;;118,12;29,18;;;;;
;2025-06;811;;31,75;39,15;;;;;
;2025-07;979;;46,83;47,83;;;;;
;2025-08;1249;;56,40;45,16;;;;;
;2025-09;1869;;62,42;33,40;;;;;
;2025-10;5711;2591;158,97;27,84;;;;;
;2025-11;8744;9523;258,31;29,54;;;;;
;2025-12;11812;12598;353,91;29,96;;;;;
;;;;;;;;;;
Zeitpunkt;Zählerstand 00:00 Uhr;Zählerstand 00:00 Uhr;Energiemenge;Energiemenge Vorjahr;Volumen;Volumenbedarf;Angenähert
;kWh;m3;kWh;kWh;m3;m3/MWh;
2025-01-01;24724;652,74;436;0;11,15;25,57;
2025-01-02;25160;663,89;421;0;11,09;26,34;
2025-01-03;25581;674,98;420;0;11,22;26,71;
2025-01-04;26001;686,20;466;0;12,37;26,55;
2025-01-05;26467;698,57;487;0;12,47;25,61;
2025-01-06;26954;711,04;407;0;10,53;25,87;
2025-01-07;27361;721,57;389;0;10,23;26,30;
2025-01-08;27750;731,80;407;0;10,42;25,60;
2025-01-09;28157;742,22;376;0;10,42;27,71;
2025-01-10;28533;752,64;414;0;10,64;25,70;
2025-01-11;28947;763,28;471;0;12,02;25,52;
2025-01-12;29418;775,30;483;0;12,35;25,57;
2025-01-13;29901;787,65;521;0;13,14;25,22;
2025-01-14;30422;800,79;527;0;13,45;25,52;
2025-01-15;30949;814,24;509;0;12,64;24,83;
2025-01-16;31458;826,88;478;0;11,89;24,87;
2025-01-17;31936;838,77;477;0;11,82;24,78;
2025-01-18;32413;850,59;491;0;12,48;25,42;
2025-01-19;32904;863,07;453;0;11,06;24,42;
2025-01-20;33357;874,13;426;0;10,58;24,84;
2025-01-21;33783;884,71;390;0;9,96;25,54;
2025-01-22;34173;894,67;394;0;10,25;26,02;
2025-01-23;34567;904,92;393;0;10,16;25,85;
2025-01-24;34960;915,08;377;0;9,95;26,39;
2025-01-25;35337;925,03;366;0;10,10;27,60;
2025-01-26;35703;935,13;360;0;9,55;26,53;
2025-01-27;36063;944,68;342;0;9,03;26,40;
2025-01-28;36405;953,71;338;0;9,42;27,87;
2025-01-29;36743;963,13;333;0;8,85;26,58;
2025-01-30;37076;971,98;366;0;9,86;26,94;
2025-01-31;37442;981,84;361;0;9,65;26,73;
2025-02-01;37803;991,49;414;0;10,87;26,26;
2025-02-02;38217;1002,36;371;0;9,90;26,68;
2025-02-03;38588;1012,26;384;0;10,00;26,04;
2025-02-04;38972;1022,26;396;0;10,26;25,91;
2025-02-05;39368;1032,52;393;0;10,05;25,57;
2025-02-06;39761;1042,57;392;0;10,01;25,54;
2025-02-07;40153;1052,58;427;0;10,75;25,18;
2025-02-08;40580;1063,33;415;0;10,73;25,86;
2025-02-09;40995;1074,06;405;0;10,59;26,15;
2025-02-10;41400;1084,65;409;0;10,67;26,09;
2025-02-11;41809;1095,32;382;0;9,78;25,60;
2025-02-12;42191;1105,10;401;0;10,34;25,79;
2025-02-13;42592;1115,44;379;0;9,95;26,25;
2025-02-14;42971;1125,39;396;0;10,32;26,06;
2025-02-15;43367;1135,71;476;0;12,02;25,25;
2025-02-16;43843;1147,73;479;0;11,87;24,78;
2025-02-17;44322;1159,60;494;0;12,20;24,70;
2025-02-18;44816;1171,80;406;0;9,86;24,29;
2025-02-19;45222;1181,66;411;0;8,91;21,68;
2025-02-20;45633;1190,57;524;0;11,90;22,71;
2025-02-21;46157;1202,47;423;0;9,44;22,32;
2025-02-22;46580;1211,91;370;0;8,38;22,65;
2025-02-23;46950;1220,29;338;0;7,71;22,81;
2025-02-24;47288;1228,00;298;0;6,78;22,75;
2025-02-25;47586;1234,78;275;0;6,10;22,18;
2025-02-26;47861;1240,88;276;0;6,25;22,64;
2025-02-27;48137;1247,13;296;0;6,83;23,07;
2025-02-28;48433;1253,96;296;0;6,50;21,96;
2025-03-01;48729;1260,46;327;0;7,14;21,83;
2025-03-02;49056;1267,60;347;0;7,86;22,65;
2025-03-03;49403;1275,46;324;0;7,54;23,27;
2025-03-04;49727;1283,00;310;0;7,24;23,35;
2025-03-05;50037;1290,24;276;0;6,33;22,93;
2025-03-06;50313;1296,57;249;0;5,65;22,69;
2025-03-07;50562;1302,22;258;0;5,91;22,91;
2025-03-08;50820;1308,13;273;0;6,13;22,45;
2025-03-09;51093;1314,26;252;0;5,54;21,98;
2025-03-10;51345;1319,80;254;0;6,01;23,66;
2025-03-11;51599;1325,81;243;0;5,79;23,83;
2025-03-12;51842;1331,60;245;0;5,84;23,84;
2025-03-13;52087;1337,44;263;0;6,24;23,73;
2025-03-14;52350;1343,68;282;0;6,54;23,19;
2025-03-15;52632;1350,22;277;0;6,40;23,10;
2025-03-16;52909;1356,62;263;0;6,28;23,88;
2025-03-17;53172;1362,90;296;0;7,36;24,86;
2025-03-18;53468;1370,26;317;0;8,47;26,76;      JA
2025-03-19;53785;1378,73;317;0;8,47;26,76;      JA
2025-03-20;54101;1387,20;264;0;6,90;26,14;
2025-03-21;54365;1394,10;254;0;6,37;25,08;
2025-03-22;54619;1400,47;243;0;5,88;24,20;
2025-03-23;54862;1406,35;237;0;5,84;24,64;
2025-03-24;55099;1412,19;217;0;5,24;24,15;
2025-03-25;55316;1417,43;213;0;5,13;24,08;
2025-03-26;55529;1422,56;219;0;5,24;23,93;
2025-03-27;55748;1427,80;226;0;5,60;24,78;
2025-03-28;55974;1433,40;219;0;5,30;24,20;
2025-03-29;56193;1438,70;228;0;5,50;24,12;
2025-03-30;56421;1444,20;207;0;4,95;23,91;
2025-03-31;56628;1449,15;233;0;5,78;24,81;
2025-04-01;56861;1454,93;232;0;5,71;24,61;
2025-04-02;57093;1460,64;211;0;4,97;23,55;
2025-04-03;57304;1465,61;187;0;4,43;23,69;
2025-04-04;57491;1470,04;176;0;4,39;24,94;
2025-04-05;57667;1474,43;149;0;3,69;24,77;
2025-04-06;57816;1478,12;184;0;4,71;25,60;
2025-04-07;58000;1482,83;228;0;6,07;26,62;
