time,station,tl_mittel,tlmax,tlmin,rr,so_h,rf_mittel,vv_mittel,sh
2025-01-01T00:00+00:00,19821,-0.3,6.3,-6.8,-1.0,5.9,69,0.6,
2025-01-02T00:00+00:00,19821,-0.2,4.9,-5.2,0.0,1.6,70,2.1,
2025-01-03T00:00+00:00,19821,-0.9,3.5,-5.3,-1.0,5.7,66,1.0,
2025-01-04T00:00+00:00,19821,-5.4,-0.3,-10.4,-1.0,4.7,70,1.0,
2025-01-05T00:00+00:00,19821,-2.9,2.9,-8.6,-1.0,1.0,67,1.0,
2025-01-06T00:00+00:00,19821,3.7,8.6,-1.2,4.7,0.4,70,3.2,
2025-01-07T00:00+00:00,19821,4.7,8.0,1.3,10.9,0.0,95,0.6,
2025-01-08T00:00+00:00,19821,2.8,6.8,-1.3,0.0,5.3,80,1.5,
2025-01-09T00:00+00:00,19821,3.4,6.9,-0.1,9.6,0.1,89,1.0,
2025-01-10T00:00+00:00,19821,-1.1,4.3,-6.4,-1.0,5.8,82,0.6,
2025-01-11T00:00+00:00,19821,-6.2,-0.7,-11.6,-1.0,6.2,79,1.0,
2025-01-12T00:00+00:00,19821,-4.1,2.7,-10.8,-1.0,6.2,59,2.1,
2025-01-13T00:00+00:00,19821,-5.9,0.0,-11.7,-1.0,6.2,69,0.6,
2025-01-14T00:00+00:00,19821,-7.3,-2.1,-12.4,-1.0,2.5,76,1.0,
2025-01-15T00:00+00:00,19821,-3.1,3.7,-9.9,-1.0,3.3,70,1.0,
2025-01-16T00:00+00:00,19821,-0.5,3.9,-4.9,-1.0,3.0,74,0.6,
2025-01-17T00:00+00:00,19821,-1.6,2.5,-5.6,-1.0,2.8,78,0.6,
2025-01-18T00:00+00:00,19821,-3.5,3.2,-10.1,-1.0,6.6,73,1.0,
2025-01-19T00:00+00:00,19821,-2.0,4.0,-8.0,0.0,3.9,72,0.6,
2025-01-20T00:00+00:00,19821,1.4,5.3,-2.6,-1.0,2.2,76,0.2,
2025-01-21T00:00+00:00,19821,2.9,8.5,-2.7,-1.0,6.7,75,0.6,
2025-01-22T00:00+00:00,19821,0.9,7.5,-5.8,-1.0,4.6,74,0.6,
2025-01-23T00:00+00:00,19821,3.3,9.5,-2.9,0.0,0.9,75,0.6,
2025-01-24T00:00+00:00,19821,4.6,8.9,0.2,-1.0,5.6,77,1.0,
2025-01-25T00:00+00:00,19821,2.7,9.0,-3.6,-1.0,7.1,69,1.5,
2025-01-26T00:00+00:00,19821,3.2,6.6,-0.3,2.1,0.0,86,1.5,
2025-01-27T00:00+00:00,19821,4.9,8.2,1.6,18.2,0.0,70,1.5,
2025-01-28T00:00+00:00,19821,5.2,7.6,2.8,34.2,0.0,92,1.0,
2025-01-29T00:00+00:00,19821,2.5,5.3,-0.3,-1.0,4.3,88,1.0,
2025-01-30T00:00+00:00,19821,1.4,6.7,-3.9,-1.0,7.9,80,1.5,
2025-01-31T00:00+00:00,19821,1.5,6.9,-4.0,0.2,4.9,77,0.6,
2025-02-01T00:00+00:00,19821,1.3,2.3,0.2,1.0,0.0,93,1.0,
2025-02-02T00:00+00:00,19821,3.3,6.6,0.0,-1.0,6.1,81,1.5,
2025-02-03T00:00+00:00,19821,1.9,4.2,-0.4,-1.0,2.5,78,2.1,
2025-02-04T00:00+00:00,19821,2.5,6.4,-1.4,-1.0,6.3,72,0.6,
2025-02-05T00:00+00:00,19821,1.5,8.7,-5.7,-1.0,8.5,68,0.6,
2025-02-06T00:00+00:00,19821,1.1,8.3,-6.2,-1.0,8.5,69,1.5,
2025-02-07T00:00+00:00,19821,-0.4,1.4,-2.1,-1.0,0.1,73,1.5,
2025-02-08T00:00+00:00,19821,1.1,8.5,-6.3,-1.0,8.3,69,1.0,
2025-02-09T00:00+00:00,19821,3.9,9.8,-2.1,0.0,1.8,74,1.0,
2025-02-10T00:00+00:00,19821,1.7,5.9,-2.6,-1.0,2.3,85,2.1,
2025-02-11T00:00+00:00,19821,1.6,2.8,0.4,0.1,0.0,89,2.1,
2025-02-12T00:00+00:00,19821,2.9,6.0,-0.3,0.0,0.3,87,2.1,
2025-02-13T00:00+00:00,19821,3.6,8.4,-1.3,6.5,1.7,74,1.5,
2025-02-14T00:00+00:00,19821,0.7,4.0,-2.6,1.2,0.0,88,1.5,
2025-02-15T00:00+00:00,19821,-3.7,2.0,-9.3,-1.0,3.7,79,1.5,
2025-02-16T00:00+00:00,19821,-3.3,-2.3,-4.3,0.0,0.0,84,2.6,
2025-02-17T00:00+00:00,19821,-4.6,-3.5,-5.7,0.0,0.0,80,2.6,
2025-02-18T00:00+00:00,19821,-4.3,-3.5,-5.1,0.0,0.0,76,1.0,
2025-02-19T00:00+00:00,19821,-4.6,-3.3,-5.9,0.0,0.0,77,1.5,
2025-02-20T00:00+00:00,19821,-2.8,5.3,-10.8,-1.0,8.7,77,1.0,
2025-02-21T00:00+00:00,19821,1.0,8.7,-6.7,-1.0,8.6,83,1.0,
2025-02-22T00:00+00:00,19821,2.7,9.9,-4.5,-1.0,6.1,71,0.6,
2025-02-23T00:00+00:00,19821,4.1,11.0,-2.9,-1.0,3.4,74,1.0,
2025-02-24T00:00+00:00,19821,5.7,11.9,-0.5,-1.0,5.9,70,1.5,
2025-02-25T00:00+00:00,19821,5.6,10.4,0.8,0.1,3.1,71,1.0,
2025-02-26T00:00+00:00,19821,3.8,6.7,0.9,12.3,0.0,93,0.6,
2025-02-27T00:00+00:00,19821,4.1,8.4,-0.2,10.2,5.0,86,1.0,
2025-02-28T00:00+00:00,19821,2.7,5.4,0.0,0.9,2.2,88,1.0,
