"month","month_start","season_cluster","meteorological_season","days_in_month","guest_days","occupancy_increase_days","occupancy_drop_days","electricity_kwh","electricity_peak_kw","electricity_baseload_kw_p10","electricity_intervals","electricity_replacement_intervals","electricity_replacement_share","electricity_night_kwh","electricity_daytime_kwh","electricity_no_guest_baseline_kwh","electricity_guest_impact_kwh","heat_kwh","heat_volume_m3","heat_approximated_days","heat_weather_baseline_kwh","heat_weather_residual_kwh","heat_no_guest_baseline_kwh","heat_guest_impact_kwh","pv_kwh","pv_days_available","nights","days_with_guests","pv_missing_days","weather_days_available","temp_mean_c","temp_min_c","temp_max_c","precipitation_mm","precipitation_negative_days","sunshine_hours","humidity_mean_pct","wind_mean_ms","snow_depth_cm","hdd18","frost_days","ice_days","summer_days","heat_export_kwh","heat_export_kwh_prev","heat_export_volume_m3","heat_export_volume_per_mwh_m3","month_start_ms","heat_delta_vs_export_kwh","electricity_minus_pv_kwh","grid_need_after_pv_kwh","pv_surplus_vs_load_kwh","potential_pv_to_heat_kwh","remaining_heat_after_pv_surplus_kwh","pv_generation_to_load_ratio","potential_pv_coverage_ratio","potential_pv_to_heat_ratio","electricity_kwh_per_night","heat_kwh_per_night","pv_kwh_per_night","electricity_guest_impact_share","heat_guest_impact_share","heat_kwh_per_hdd18","heat_kwh_per_hdd18_per_night","heat_weather_adjusted_per_night_kwh"
"2025-01",2025-01-01,"winter","winter",31,21,5,4,933.513,6.44,0.510193548387097,2976,2,0.000672043010752688,167.327,528.028,698.968352459015,129.493930369106,13079,338.75,0,11972.575096179,1106.42490382097,11783.4120715375,322.179116810619,197.24,31,72,21,0,31,0.132258064516129,-12.4,9.5,79.9,20,115.4,75.7096774193548,1.05483870967742,NA,553.9,27,3,0,13079,NA,338.75,25.9,1735689600000,0,736.273,736.273,0,0,13079,0.211287898508109,0.211287898508109,0,12.9654583333333,181.652777777778,2.73944444444444,0.138716793841227,0.0246333142297285,23.6125654450262,0.327952297847586,15.367012553069
"2025-02",2025-02-01,"winter","winter",28,20,4,7,878.74,6.68,0.533857142857143,2688,0,0,134.988,525.083,606.01954963505,188.845315121612,10926,268.97,0,10196.4472440409,729.552755959054,10026.6144138372,469.844545348819,186.31,28,105,20,0,28,1.18214285714286,-10.8,11.9,32.3,14,93.1,78.8928571428571,1.35714285714286,NA,470.9,22,4,0,10926,NA,268.97,24.62,1.738368e+12,0,692.43,692.43,0,0,10926,0.212019482440767,0.212019482440767,0,8.36895238095238,104.057142857143,1.77438095238095,0.214904653391916,0.0430024295578271,23.2023784242939,0.220975032612323,6.94812148532432
"2025-03",2025-03-01,"winter","spring",31,7,1,1,473.493,5.548,0.0992903225806452,2976,25,0.0084005376344086,75.721,269.331,555.547959058778,25.1793753495483,8133,194.47,2,8473.07232861394,-340.072328613939,8289.71314735836,62.6459393798426,360.63,31,14,7,0,31,5.50645161290323,-5.7,16.6,109.3,13,152.1,71.0645161290323,1.28387096774194,NA,387.3,13,0,0,8132,NA,194.47,23.91,1740787200000,1,112.863,112.863,0,0,8133,0.761637447649701,0.761637447649701,0,33.8209285714286,580.928571428571,25.7592857142857,0.0531779252270853,0.00770268527970523,20.9992254066615,1.49994467190439,-24.2908806152814
"2025-04",2025-04-01,"transition","spring",30,0,0,0,416.38,5.008,0.0613333333333333,2880,0,0,69.164,204.056,423.040144461987,0,4991,133.21,0,5403.79065728394,-412.79065728394,5230.98331713137,0,458.15,30,0,0,0,30,9.94333333333333,-3,21.8,49.8,15,148.6,66.5,1.55333333333333,NA,241.7,4,0,0,4991,NA,133.21,26.69,1743465600000,0,-41.77,0,41.77,41.77,4949.23,1.10031701810846,1,0.00836906431576838,NA,NA,NA,0,0,20.6495655771618,NA,NA
"2025-05",2025-05-01,"transition","spring",31,3,1,0,426.541,5.228,0.0701290322580645,2976,0,0,62.96,230.387,373.991170534709,26.9779021602303,4048,118.12,0,4043.02950940939,4.97049059060785,3867.01745042329,67.1206493355456,497.92,31,15,3,0,31,12.3193548387097,2.2,27,167.7,12,141.4,68.4516129032258,1.68064516129032,NA,176.4,0,0,2,4048,NA,118.12,29.18,1746057600000,0,-71.379,0,71.379,71.379,3976.621,1.16734381923426,1,0.017633152173913,28.4360666666667,269.866666666667,33.1946666666667,0.0632480867260833,0.0165811880769628,22.9478458049887,1.52985638699924,0.331366039373857
"2025-06",2025-06-01,"summer","summer",30,16,2,2,354.886,4.844,0.0381333333333333,2880,0,0,75.212,150.528,224.266021796232,133.09098399047,811,31.75,0,553.639462621399,257.360537378601,388.875984640584,331.128536722025,614.76,30,74,16,0,30,19.8133333333333,10.3,31.4,79.8,18,230.8,62.2,1.54333333333333,NA,10.8,0,0,19,811,NA,31.75,39.15,1.748736e+12,0,-259.874,0,259.874,259.874,551.126,1.73227458958652,1,0.320436498150432,4.79575675675676,10.9594594594595,8.30756756756757,0.375024610693207,0.408296592752189,75.0925925925926,1.01476476476476,3.47784509971083
"2025-07",2025-07-01,"summer","summer",31,30,3,2,450.473,4.908,0.0701935483870968,2976,0,0,89.348,218.909,254.76113160354,215.823217281843,979,46.83,0,1133.77900936278,-154.779009362783,962.591874199934,536.965194684365,517.97,31,120,30,0,31,17.8516129032258,7.6,31.7,182,5,152.5,69.4516129032258,1.46129032258065,NA,37.9,0,0,9,979,NA,46.83,47.83,1.751328e+12,0,-67.497,0,67.497,67.497,911.503,1.14983583921789,1,0.0689448416751788,3.75394166666667,8.15833333333333,4.31641666666667,0.479103558441555,0.54848334492785,25.8311345646438,0.215259454705365,-1.28982507802319
"2025-08",2025-08-01,"summer","summer",31,31,2,3,503.989,5.78,0.0743225806451613,2976,9,0.0030241935483871,90.2,257.026,246.841157898365,291.361343330487,1249,56.4,0,940.529156652106,308.470843347894,769.662521844303,724.903012823893,505.49,31,162,31,0,31,18.7387096774194,8.6,31.7,106.5,15,200.4,71.1935483870968,1.13870967741935,NA,28.7,0,0,13,1249,NA,56.4,45.16,1754006400000,0,-1.50100000000003,0,1.50100000000003,1.50100000000003,1247.499,1.00297823960444,1,0.00120176140912733,3.11104320987654,7.70987654320988,3.12030864197531,0.578110520925035,0.580386719634822,43.5191637630662,0.268636813352261,1.90414100832033
"2025-09",2025-09-01,"transition","autumn",30,13,0,2,390.981,5.86,0.0577333333333333,2880,0,0,71.812,201.258,288.658851486135,50.3587506990966,1869,62.42,0,2124.8447868343,-255.844786834296,1957.47550161898,125.291878759685,365.9,30,28,13,0,30,15.1966666666667,6.4,27.1,155.9,12,155.9,82.2,1.18666666666667,NA,85.6,0,0,4,1869,NA,62.42,33.4,1756684800000,0,25.081,25.081,0,0,1869,0.935851102739008,0.935851102739008,0,13.9636071428571,66.75,13.0678571428571,0.128801017694201,0.0670368532689594,21.8341121495327,0.779789719626168,-9.13731381551059
"2025-10",2025-10-01,"transition","autumn",31,0,0,0,437.212,4.6,0.0696774193548387,2976,0,0,72.523,239.063,452.588300891501,0,5711,158.97,0,5960.82424337513,-249.824243375135,5781.63156673515,0,294.27,31,0,0,0,31,9.36451612903226,-0.8,19.9,65.5,20,134.6,79.9032258064516,1.23225806451613,NA,267.7,2,0,0,5711,2591,158.97,27.84,1759276800000,0,142.942,142.942,0,0,5711,0.673060208777435,0.673060208777435,0,NA,NA,NA,0,0,21.3335823683228,NA,NA
