"date","electricity_kwh","electricity_intervals","electricity_replacement_intervals","electricity_replacement_share","electricity_peak_kw","electricity_baseload_kw_p10","electricity_night_kwh","electricity_daytime_kwh","electricity_feed_in_kwh","feed_in_intervals","feed_in_replacement_intervals","feed_in_replacement_share","heat_meter_kwh","heat_meter_m3","heat_kwh","heat_kwh_prev","heat_volume_m3","heat_volume_per_mwh_m3","heat_approximated_flag","pv_kwh","arrivals","nights","arrivals_compare","nights_compare","weather_station_id","temp_mean_c","temp_max_c","temp_min_c","precipitation_raw_mm","precipitation_mm","precipitation_negative_flag","sunshine_hours","humidity_mean_pct","wind_mean_ms","snow_depth_cm","snow_depth_missing_flag","hdd18","frost_day_flag","ice_day_flag","summer_day_flag","weather_data_available","timestamp_ms","has_guests_flag","occupied_apartments_estimated","electricity_data_available","feed_in_data_available","heat_data_available","pv_data_available","occupancy_data_available","season_cluster","meteorological_season"
2025-01-01,31.005,96,0,0,5.1,0.418,6.079,17.293,0.848,96,0,0,24724,652.74,436,0,11.15,25.57,0,7.7,0,4,0,4,"19821",-0.3,6.3,-6.8,-1,0,1,5.9,69,0.6,NA,1,18.3,1,0,0,1,1735689600000,1,2,1,1,1,1,1,"winter","winter"
2025-01-02,35.614,96,0,0,5.124,0.61,5.61,21.113,0.366,96,0,0,25160,663.89,421,0,11.09,26.34,0,4.87,2,6,2,6,"19821",-0.2,4.9,-5.2,0,0,0,1.6,70,2.1,NA,1,18.2,1,0,0,1,1.735776e+12,1,3,1,1,1,1,1,"winter","winter"
2025-01-03,37.618,96,0,0,4.324,0.864,5.753,23.355,0.66,96,0,0,25581,674.98,420,0,11.22,26.71,0,7.36,0,4,0,4,"19821",-0.9,3.5,-5.3,-1,0,1,5.7,66,1,NA,1,18.9,1,0,0,1,1735862400000,1,2,1,1,1,1,1,"winter","winter"
2025-01-04,45.707,96,0,0,5.384,0.486,5.431,28.056,0.85,96,0,0,26001,686.2,466,0,12.37,26.55,0,7.7,0,2,0,2,"19821",-5.4,-0.3,-10.4,-1,0,1,4.7,70,1,NA,1,23.4,1,1,0,1,1735948800000,1,1,1,1,1,1,1,"winter","winter"
2025-01-05,33.06,96,0,0,5.424,0.64,6.576,16.505,0.006,96,0,0,26467,698.57,487,0,12.47,25.61,0,3.75,0,2,0,2,"19821",-2.9,2.9,-8.6,-1,0,1,1,67,1,NA,1,20.9,1,0,0,1,1736035200000,1,1,1,1,1,1,1,"winter","winter"
2025-01-06,27.781,96,0,0,3.428,0.71,5.029,16.41,0.117,96,0,0,26954,711.04,407,0,10.53,25.87,0,2.78,0,2,0,2,"19821",3.7,8.6,-1.2,4.7,4.7,0,0.4,70,3.2,NA,1,14.3,1,0,0,1,1736121600000,1,1,1,1,1,1,1,"winter","winter"
2025-01-07,34.796,96,0,0,3.464,0.74,4.69,23.72,0,96,0,0,27361,721.57,389,0,10.23,26.3,0,0.66,0,2,0,2,"19821",4.7,8,1.3,10.9,10.9,0,0,95,0.6,NA,1,13.3,0,0,0,1,1.736208e+12,1,1,1,1,1,1,1,"winter","winter"
2025-01-08,25.981,96,0,0,5.496,0.358,4.794,14.301,0.962,96,0,0,27750,731.8,407,0,10.42,25.6,0,8.06,0,2,0,2,"19821",2.8,6.8,-1.3,0,0,0,5.3,80,1.5,NA,1,15.2,1,0,0,1,1736294400000,1,1,1,1,1,1,1,"winter","winter"
2025-01-09,32.721,96,0,0,4.564,0.7,4.821,21.686,0,96,0,0,28157,742.22,376,0,10.42,27.71,0,1.71,0,0,0,0,"19821",3.4,6.9,-0.1,9.6,9.6,0,0.1,89,1,NA,1,14.6,1,0,0,1,1736380800000,0,0,1,1,1,1,1,"winter","winter"
2025-01-10,25.157,96,0,0,2.74,0.004,5.199,11.896,2.257,96,0,0,28533,752.64,414,0,10.64,25.7,0,7.52,0,0,0,0,"19821",-1.1,4.3,-6.4,-1,0,1,5.8,82,0.6,NA,1,19.1,1,0,0,1,1736467200000,0,0,1,1,1,1,1,"winter","winter"
