"month","month_start","season_cluster","meteorological_season","days_in_month","guest_days","occupancy_increase_days","occupancy_drop_days","electricity_kwh","electricity_peak_kw","electricity_baseload_kw_p10","electricity_intervals","electricity_replacement_intervals","electricity_replacement_share","electricity_night_kwh","electricity_daytime_kwh","electricity_feed_in_kwh","feed_in_intervals","feed_in_replacement_intervals","feed_in_replacement_share","electricity_self_consumption_raw_kwh","electricity_self_consumption_kwh","real_electricity_kwh","real_electricity_no_guest_baseline_kwh","real_electricity_guest_impact_kwh","real_electricity_modeled_total_seasonal_kwh","real_electricity_modeled_seasonal_kwh","real_electricity_no_guest_baseline_seasonal_kwh","real_electricity_guest_impact_seasonal_kwh","real_electricity_model_residual_seasonal_kwh","real_electricity_guest_impact_fallback_days","heat_kwh","heat_volume_m3","heat_approximated_days","heat_weather_baseline_kwh","heat_weather_residual_kwh","heat_no_guest_baseline_kwh","heat_guest_impact_kwh","heat_modeled_total_seasonal_kwh","heat_modeled_seasonal_kwh","heat_no_guest_baseline_seasonal_kwh","heat_guest_impact_seasonal_kwh","heat_model_residual_seasonal_kwh","heat_guest_impact_fallback_days","pv_kwh","arrivals","pv_days_available","nights","occupied_apartment_nights_estimated","average_occupied_apartments_estimated_per_guest_day","weekend_days","days_with_guests","pv_missing_days","feed_in_days_available","feed_in_missing_days","real_electricity_days_available","feed_in_exceeds_pv_days","weather_days_available","temp_mean_c","temp_min_c","temp_max_c","precipitation_mm","precipitation_negative_days","sunshine_hours","humidity_mean_pct","wind_mean_ms","snow_depth_cm","hdd18","frost_days","ice_days","summer_days","heat_export_kwh","heat_export_kwh_prev","heat_export_volume_m3","heat_export_volume_per_mwh_m3","month_start_ms","heat_delta_vs_export_kwh","potential_pv_to_heat_kwh","remaining_heat_after_pv_surplus_kwh","pv_generation_to_load_ratio","electricity_autarky_ratio","pv_self_consumption_ratio","pv_feed_in_ratio","potential_pv_to_heat_ratio","electricity_kwh_per_night","real_electricity_kwh_per_night","heat_kwh_per_night","pv_kwh_per_night","real_electricity_guest_impact_share","heat_guest_impact_share","heat_to_electricity_ratio","heat_kwh_per_hdd18","heat_kwh_per_hdd18_per_night","heat_weather_adjusted_per_night_kwh"
"2025-01",2025-01-01,"winter","winter",31,21,5,4,933.513,6.44,0.510193548387097,2976,2,0.000672043010752688,167.327,528.028,26.867,2976,2,0.000672043010752688,170.373,170.373,1103.886,823.625777899812,151.389393912085,1005.42362238155,1005.42362238155,794.282056938711,211.141565442839,98.4623776184499,0,13079,338.75,0,11972.575096179,1106.42490382097,11787.1952898089,387.956304595448,12282.019614182,12282.019614182,11623.5081284131,658.51148576894,796.980385817981,0,197.24,10,31,72,36,1.71428571428571,8,21,0,31,0,31,0,31,0.132258064516129,-12.4,9.5,79.9,20,115.4,75.7096774193548,1.05483870967742,NA,553.9,27,3,0,13079,NA,338.75,25.9,1735689600000,0,26.867,13052.133,0.178677870722158,0.154339306776243,0.863785236260393,0.136214763739607,0.00205420903738818,12.9654583333333,15.33175,181.652777777778,2.73944444444444,0.137142235622234,0.0296625357133915,11.8481437394803,23.6125654450262,0.327952297847586,15.367012553069
"2025-02",2025-02-01,"winter","winter",28,20,4,7,878.74,6.68,0.533857142857143,2688,0,0,134.988,525.083,29.632,2688,0,0,156.678,156.678,1035.418,730.630078930217,219.448290534921,999.154059529833,999.154059529833,700.108597110596,299.045462419237,36.2639404701673,0,10926,268.97,0,10196.4472440409,729.552755959054,10089.7635170624,575.402778482036,10817.8063629598,10817.8063629598,9970.73231811354,847.074044846284,108.193637040172,0,186.31,16,28,105,57,2.85,8,20,0,28,0,28,0,28,1.18214285714286,-10.8,11.9,32.3,14,93.1,78.8928571428571,1.35714285714286,NA,470.9,22,4,0,10926,NA,268.97,24.62,1.738368e+12,0,29.632,10896.368,0.179936991630433,0.151318597899592,0.840953249959745,0.159046750040255,0.00271206296906462,8.36895238095238,9.86112380952381,104.057142857143,1.77438095238095,0.211941738056438,0.0526636260737723,10.5522600534277,23.2023784242939,0.220975032612323,6.94812148532432
"2025-03",2025-03-01,"winter","spring",31,7,1,1,473.493,5.548,0.0992903225806452,2976,25,0.0084005376344086,75.721,269.331,129.87,2976,25,0.0084005376344086,230.76,230.76,704.253,735.342144706496,29.2691445367141,731.942570679993,731.942570679993,681.72187841843,50.2206922615635,-27.6895706799935,0,8133,194.47,2,8473.07232861394,-340.072328613939,8754.54722976097,57.4007948509382,8771.45458482172,8771.45458482172,8589.93217383146,181.522410990261,-638.45458482172,0,360.63,2,31,14,7,1,10,7,0,31,0,31,0,31,5.50645161290323,-5.7,16.6,109.3,13,152.1,71.0645161290323,1.28387096774194,NA,387.3,13,0,0,8132,NA,194.47,23.91,1740787200000,1,129.87,8003.13,0.512074495955289,0.327666335819656,0.639880209633142,0.360119790366858,0.0159682773884176,33.8209285714286,50.3037857142857,580.928571428571,25.7592857142857,0.0415605535748007,0.00705776402937885,11.5484066095565,20.9992254066615,1.49994467190439,-24.2908806152814
"2025-04",2025-04-01,"transition","spring",30,0,0,0,416.38,5.008,0.0613333333333333,2880,0,0,69.164,204.056,179.527,2880,0,0,278.623,278.623,695.003,646.104580109594,0,645.421927040099,645.421927040099,645.421927040099,0,49.5810729599006,30,4991,133.21,0,5403.79065728394,-412.79065728394,4859.59498505032,0,5227.3256660654,5227.3256660654,5227.3256660654,0,-236.3256660654,30,458.15,0,30,0,0,NA,8,0,0,30,0,30,0,30,9.94333333333333,-3,21.8,49.8,15,148.6,66.5,1.55333333333333,NA,241.7,4,0,0,4991,NA,133.21,26.69,1743465600000,0,179.527,4811.473,0.659205787600917,0.400894672397098,0.608147986467314,0.391852013532686,0.0359701462632739,NA,NA,NA,NA,0,0,7.18126396576705,20.6495655771618,NA,NA
"2025-05",2025-05-01,"transition","spring",31,3,1,0,426.541,5.228,0.0701290322580645,2976,0,0,62.96,230.387,217.057,2976,0,0,280.863,284.035,710.576,633.775715856258,33.8929885032124,663.761609193739,663.761609193739,630.493610199206,33.2679989945335,46.8143908062607,31,4048,118.12,0,4043.02950940939,4.97049059060785,3844.1118671088,89.9093773070995,3934.48126329149,3934.48126329149,3854.39824838578,80.0830149057137,113.518736708508,31,497.92,5,31,15,9,3,9,3,0,31,0,31,1,31,12.3193548387097,2.2,27,167.7,12,141.4,68.4516129032258,1.68064516129032,NA,176.4,0,0,2,4048,NA,118.12,29.18,1746057600000,0,217.057,3830.943,0.700727297291212,0.399725011821396,0.570443043059126,0.435927458226221,0.0536208003952569,28.4360666666667,47.3717333333333,269.866666666667,33.1946666666667,0.0476979077582306,0.0222108145521491,5.69678683209115,22.9478458049887,1.52985638699924,0.331366039373857
"2025-06",2025-06-01,"summer","summer",30,16,2,2,354.886,4.844,0.0381333333333333,2880,0,0,75.212,150.528,274.215,2880,0,0,340.545,340.545,695.431,470.63751937604,165.9592603827,642.467529277483,642.467529277483,480.167382793178,162.300146484306,52.9634707225169,30,811,31.75,0,553.639462621399,257.360537378601,131.489721788533,415.63829087942,693.616931285749,693.616931285749,340.621286414745,352.995644871004,117.383068714251,30,614.76,7,30,74,44,2.75,9,16,0,30,0,30,0,30,19.8133333333333,10.3,31.4,79.8,18,230.8,62.2,1.54333333333333,NA,10.8,0,0,19,811,NA,31.75,39.15,1.748736e+12,0,274.215,536.785,0.883998556290991,0.489689128037145,0.553947882100332,0.446052117899668,0.338119605425401,4.79575675675676,9.39771621621622,10.9594594594595,8.30756756756757,0.238642310139612,0.512500975190406,1.16618327339448,75.0925925925926,1.01476476476476,3.47784509971083
"2025-07",2025-07-01,"summer","summer",31,30,3,2,450.473,4.908,0.0701935483870968,2976,0,0,89.348,218.909,205.136,2976,0,0,312.834,312.834,763.307,532.094222447035,274.840943649647,812.810756023441,812.810756023441,543.838539702197,268.972216321244,-49.5037560234408,31,979,46.83,0,1133.77900936278,-154.779009362783,534.178592767359,663.776754910776,1523.1454946524,1523.1454946524,920.287144149573,602.858350502824,-544.145494652396,31,517.97,9,31,120,73,2.43333333333333,8,30,0,31,0,31,0,31,17.8516129032258,7.6,31.7,182,5,152.5,69.4516129032258,1.46129032258065,NA,37.9,0,0,9,979,NA,46.83,47.83,1.751328e+12,0,205.136,773.864,0.678586728537797,0.409840339470226,0.603961619398807,0.396038380601193,0.209536261491318,3.75394166666667,6.36089166666667,8.15833333333333,4.31641666666667,0.360066059461851,0.678015071410395,1.28257699719772,25.8311345646438,0.215259454705365,-1.28982507802319
"2025-08",2025-08-01,"summer","summer",31,31,2,3,503.989,5.78,0.0743225806451613,2976,9,0.0030241935483871,90.2,257.026,184.91,2976,9,0.0030241935483871,320.58,320.58,824.569,507.325808757786,332.449245386793,842.524553047892,842.524553047892,518.199913956773,324.324639091119,-17.9555530478921,31,1249,56.4,0,940.529156652106,308.470843347894,397.7376389155,896.179000738426,1443.19417521352,1443.19417521352,725.132787464027,718.061387749488,-194.194175213515,31,505.49,8,31,162,82,2.64516129032258,10,31,0,31,0,31,0,31,18.7387096774194,8.6,31.7,106.5,15,200.4,71.1935483870968,1.13870967741935,NA,28.7,0,0,13,1249,NA,56.4,45.16,1754006400000,0,184.91,1064.09,0.613035416077975,0.388784928853741,0.634196522186393,0.365803477813607,0.14804643714972,3.11104320987654,5.08993209876543,7.70987654320988,3.12030864197531,0.403179412986412,0.71751721436223,1.5147307259914,43.5191637630662,0.268636813352261,1.90414100832033
"2025-09",2025-09-01,"transition","autumn",30,13,0,2,390.981,5.86,0.0577333333333333,2880,0,0,71.812,201.258,154.168,2880,0,0,211.732,211.732,602.713,570.692550619639,58.6434821531234,622.433184411528,622.433184411528,564.622481639819,57.8107027717094,-19.720184411528,30,1869,62.42,0,2124.8447868343,-255.844786834296,2392.10103552644,119.262578252237,2116.5600086413,2116.5600086413,1928.81060446869,187.74940417261,-247.560008641299,30,365.9,2,30,28,14,1.07692307692308,8,13,0,30,0,30,0,30,15.1966666666667,6.4,27.1,155.9,12,155.9,82.2,1.18666666666667,NA,85.6,0,0,4,1869,NA,62.42,33.4,1756684800000,0,154.168,1714.832,0.607088282482707,0.351298213245774,0.57866083629407,0.421339163705931,0.0824868913857678,13.9636071428571,21.5254642857143,66.75,13.0678571428571,0.0972991824518858,0.0638109032917267,3.10097840929265,21.8341121495327,0.779789719626168,-9.13731381551059
"2025-10",2025-10-01,"transition","autumn",31,0,0,0,437.212,4.6,0.0696774193548387,2976,0,0,72.523,239.063,116.835,2976,0,0,177.435,177.435,614.647,679.829682758176,0,679.697565471115,679.697565471115,679.697565471115,0,-65.0505654711152,31,5711,158.97,0,5960.82424337513,-249.824243375135,5314.02015675513,0,5779.32289284265,5779.32289284265,5779.32289284265,0,-68.3228928426546,31,294.27,0,31,0,0,NA,8,0,0,31,0,31,0,31,9.36451612903226,-0.8,19.9,65.5,20,134.6,79.9032258064516,1.23225806451613,NA,267.7,2,0,0,5711,2591,158.97,27.84,1759276800000,0,116.835,5594.165,0.478762606829611,0.288677891537744,0.602966663268427,0.397033336731573,0.0204578882857643,NA,NA,NA,NA,0,0,9.29151203861729,21.3335823683228,NA,NA
"2025-11",2025-11-01,"winter","autumn",30,0,0,0,539.136,5.076,0.160533333333333,2880,0,0,85.363,321.486,72.646,2880,0,0,115.394,115.394,570.842,657.395685836839,0,616.798727757808,616.798727757808,616.798727757808,0,-45.9567277578076,0,8744,258.31,0,9411.6245591532,-667.624559153203,9544.63720882544,0,9363.05266896278,9363.05266896278,9363.05266896278,0,-619.052668962782,0,188.04,0,27,0,0,NA,10,0,3,30,0,27,0,30,3.58333333333333,-8.9,17.8,84.8,20,125.6,83.2,1.08333333333333,NA,432.5,16,2,0,8744,9523,258.31,29.54,1761955200000,0,72.646,8671.354,0.329408137453096,0.202147003899503,0.61366730482876,0.38633269517124,0.00830809698078683,NA,NA,NA,NA,0,0,15.3177236433199,20.2173410404624,NA,NA
