"timestamp_iso","timestamp_ms","date","date_local","time_local","kwh","status","status_class"
"2025-01-01T00:00:00+0100",1.735686e+12,2024-12-31,"01.01.2025","00:00:00",0.204,"Echtwert gemessen (L1)","measured"
"2025-01-01T00:15:00+0100",1735686900000,2024-12-31,"01.01.2025","00:15:00",0.22,"Echtwert gemessen (L1)","measured"
"2025-01-01T00:30:00+0100",1735687800000,2024-12-31,"01.01.2025","00:30:00",0.233,"Echtwert gemessen (L1)","measured"
"2025-01-01T00:45:00+0100",1735688700000,2024-12-31,"01.01.2025","00:45:00",0.238,"Echtwert gemessen (L1)","measured"
"2025-01-01T01:00:00+0100",1735689600000,2025-01-01,"01.01.2025","01:00:00",0.221,"Echtwert gemessen (L1)","measured"
"2025-01-01T01:15:00+0100",1735690500000,2025-01-01,"01.01.2025","01:15:00",0.224,"Echtwert gemessen (L1)","measured"
"2025-01-01T01:30:00+0100",1735691400000,2025-01-01,"01.01.2025","01:30:00",0.234,"Echtwert gemessen (L1)","measured"
"2025-01-01T01:45:00+0100",1735692300000,2025-01-01,"01.01.2025","01:45:00",0.231,"Echtwert gemessen (L1)","measured"
"2025-01-01T02:00:00+0100",1735693200000,2025-01-01,"01.01.2025","02:00:00",0.248,"Echtwert gemessen (L1)","measured"
"2025-01-01T02:15:00+0100",1735694100000,2025-01-01,"01.01.2025","02:15:00",0.265,"Echtwert gemessen (L1)","measured"
"2025-01-01T02:30:00+0100",1.735695e+12,2025-01-01,"01.01.2025","02:30:00",0.204,"Echtwert gemessen (L1)","measured"
"2025-01-01T02:45:00+0100",1735695900000,2025-01-01,"01.01.2025","02:45:00",0.231,"Echtwert gemessen (L1)","measured"
"2025-01-01T03:00:00+0100",1735696800000,2025-01-01,"01.01.2025","03:00:00",0.271,"Echtwert gemessen (L1)","measured"
"2025-01-01T03:15:00+0100",1735697700000,2025-01-01,"01.01.2025","03:15:00",0.252,"Echtwert gemessen (L1)","measured"
"2025-01-01T03:30:00+0100",1735698600000,2025-01-01,"01.01.2025","03:30:00",0.222,"Echtwert gemessen (L1)","measured"
"2025-01-01T03:45:00+0100",1735699500000,2025-01-01,"01.01.2025","03:45:00",0.228,"Echtwert gemessen (L1)","measured"
"2025-01-01T04:00:00+0100",1735700400000,2025-01-01,"01.01.2025","04:00:00",0.202,"Echtwert gemessen (L1)","measured"
"2025-01-01T04:15:00+0100",1735701300000,2025-01-01,"01.01.2025","04:15:00",0.221,"Echtwert gemessen (L1)","measured"
"2025-01-01T04:30:00+0100",1735702200000,2025-01-01,"01.01.2025","04:30:00",0.241,"Echtwert gemessen (L1)","measured"
"2025-01-01T04:45:00+0100",1735703100000,2025-01-01,"01.01.2025","04:45:00",0.229,"Echtwert gemessen (L1)","measured"
"2025-01-01T05:00:00+0100",1.735704e+12,2025-01-01,"01.01.2025","05:00:00",0.226,"Echtwert gemessen (L1)","measured"
"2025-01-01T05:15:00+0100",1735704900000,2025-01-01,"01.01.2025","05:15:00",0.254,"Echtwert gemessen (L1)","measured"
"2025-01-01T05:30:00+0100",1735705800000,2025-01-01,"01.01.2025","05:30:00",0.433,"Echtwert gemessen (L1)","measured"
"2025-01-01T05:45:00+0100",1735706700000,2025-01-01,"01.01.2025","05:45:00",0.276,"Echtwert gemessen (L1)","measured"
"2025-01-01T06:00:00+0100",1735707600000,2025-01-01,"01.01.2025","06:00:00",0.299,"Echtwert gemessen (L1)","measured"
"2025-01-01T06:15:00+0100",1735708500000,2025-01-01,"01.01.2025","06:15:00",0.256,"Echtwert gemessen (L1)","measured"
"2025-01-01T06:30:00+0100",1735709400000,2025-01-01,"01.01.2025","06:30:00",0.317,"Echtwert gemessen (L1)","measured"
"2025-01-01T06:45:00+0100",1735710300000,2025-01-01,"01.01.2025","06:45:00",0.243,"Echtwert gemessen (L1)","measured"
"2025-01-01T07:00:00+0100",1735711200000,2025-01-01,"01.01.2025","07:00:00",0.225,"Echtwert gemessen (L1)","measured"
